ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"Parent Product ID",Sku,Price,"Regular Price","Sale Price","Stock Status",Stock,"External Product URL","Total Sales","Attribute Name (pa_marka)","Attribute Value (pa_marka)","Attribute In Variations (pa_marka)","Attribute Is Visible (pa_marka)","Attribute Is Taxonomy (pa_marka)","Shipping Class",_wpm_gtin_code,_ywbc_barcode_value,"Product Type","Ürün görünürlüğü","Ürün kategorileri","Ürün etiketleri","Image URL"
3001,"PERHE JUUSTO TEEPPINEN EMMENTAL VIIPALE",---,---,"2019-09-28 16:03:38",product,https://marketim.fi/product/perhe-juusto-teeppinen-emmental-viipale/,0,889bf8629c1a,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,4009301400133,4009301400133,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/PERHE-JUUSTO-TEEPPINEN-EMMENTAL-VIIPALE.jpg
3002,"TOLKUTTOMAT JUUSTOTGOUDA",---,---,"2019-09-28 16:03:38",product,https://marketim.fi/product/tolkuttomat-juustotgouda/,0,2090f42d4860,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,7311870037632,7311870037632,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/TOLKUTTOMAT-JUUSTOTGOUDA.jpg
3003,"PERHE JUUSTOTARLA HILLITÖN GOUDA",---,---,"2019-09-28 16:03:38",product,https://marketim.fi/product/perhe-juustotarla-hilliton-gouda/,0,4f63ed36d875,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,5711953015809,5711953015809,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/PERHE-JUUSTOTARLA-HILLITÖN-GOUDA.jpg
3004,"PERHE JUUSTOTARLA HILLITÖN GOUDA VIIPALE",---,---,"2019-09-28 16:03:38",product,https://marketim.fi/product/perhe-juustotarla-hilliton-gouda-viipale/,0,605644e7ca5d,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,7311877016012,7311877016012,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/PERHE-JUUSTOTARLA-HILLITÖN-GOUDA-VIIPALE.jpg
3005,"CASTELLO MASTERFULLY MATURED GOUDA",---,---,"2019-09-28 16:03:38",product,https://marketim.fi/product/castello-masterfully-matured-gouda/,0,34c3ae2be6af,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,5711953065286,5711953065286,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/CASTELLO-MASTERFULLY-MATURED-GOUDA.jpg
3006,"CASTELLO CHARMINGLY CREAMY HAVARTI",---,---,"2019-09-28 16:03:38",product,https://marketim.fi/product/castello-charmingly-creamy-havarti/,0,25efd90915f8,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,5711953089671,5711953089671,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/CASTELLO-CHARMINGLY-CREAMY-HAVARTI.jpg
3007,"PERHEJUUSTOT- LOPUTON KERMAJUUSTO",---,---,"2019-09-28 16:03:38",product,https://marketim.fi/product/perhejuustot-loputon-kermajuusto/,0,abeb375c8d8b,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,5711953033940,5711953033940,simple,visible,Peynir,,
3008,"PERHEJUUSTO TARLA LOPUTON KERMAJUUSTO VIIPALE",---,---,"2019-09-28 16:03:38",product,https://marketim.fi/product/perhejuusto-tarla-loputon-kermajuusto-viipale/,0,8aba68af1092,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,7311877016005,7311877016005,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/PERHEJUUSTO-TARLA-LOPUTON-KERMAJUUSTO-VIIPALE.jpg
3009,"PERHEJUUSTOT- ARLA TOLKUTON CHEDDAR",---,---,"2019-09-28 16:03:38",product,https://marketim.fi/product/perhejuustot-arla-tolkuton-cheddar/,0,5f9672dccc4d,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,5000246726585,5000246726585,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/PERHEJUUSTOT-ARLA-TOLKUTON-CHEDDAR.jpg
3010,"PERHEJUUSTOTARLA TOLKUTON CHEDDARVIIPALE",---,---,"2019-09-28 16:03:38",product,https://marketim.fi/product/perhejuustotarla-tolkuton-cheddarviipale/,0,f6448e381d0a,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,5000246726905,5000246726905,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/PERHEJUUSTOTARLA-TOLKUTON-CHEDDARVIIPALE.jpg
